gas_ppm,accel_g,duration_sec,label,risk_score,risk_level
160.87,1.01,0,normal,0.61,LOW
737.12,1.01,8,warning_gas,43.73,MEDIUM
466.83,1.04,7,warning_gas,29.31,LOW
138.53,1.0,0,normal,0.0,LOW
127.51,1.01,0,normal,0.1,LOW
168.71,0.98,0,normal,1.08,LOW
130.21,0.97,0,normal,0.3,LOW
131.85,1.03,0,normal,0.3,LOW
137.01,3.29,5,warning_fall,32.9,MEDIUM
134.33,1.05,0,normal,0.5,LOW
726.17,1.03,1,warning_gas,29.41,LOW
151.74,0.98,0,normal,0.28,LOW
166.46,0.98,0,normal,0.97,LOW
718.12,3.2,10,critical,68.74,MEDIUM
160.24,2.95,3,warning_fall,25.98,LOW
125.2,4.77,3,warning_fall,43.7,MEDIUM
152.27,1.02,0,normal,0.31,LOW
150.6,3.49,3,warning_fall,30.93,MEDIUM
490.65,0.98,1,warning_gas,18.23,LOW
147.4,1.01,0,normal,0.1,LOW
137.92,0.95,0,normal,0.5,LOW
155.53,1.0,0,normal,0.26,LOW
159.96,1.01,0,normal,0.57,LOW
150.96,1.0,0,normal,0.05,LOW
161.42,0.99,0,normal,0.64,LOW
162.68,0.98,0,normal,0.8,LOW
141.59,0.98,0,normal,0.2,LOW
743.13,3.99,6,critical,69.81,MEDIUM
145.9,2.82,2,warning_fall,22.2,LOW
162.73,3.52,4,warning_fall,33.8,MEDIUM
121.04,1.02,0,normal,0.2,LOW
125.38,0.99,0,normal,0.1,LOW
159.43,1.02,0,normal,0.64,LOW
122.34,1.04,0,normal,0.4,LOW
150.49,1.0,0,normal,0.02,LOW
151.16,1.04,0,normal,0.45,LOW
142.5,1.05,0,normal,0.5,LOW
153.64,0.98,0,normal,0.37,LOW
136.61,4.08,3,warning_fall,36.8,MEDIUM
169.51,1.02,0,normal,1.12,LOW
162.48,1.02,0,normal,0.79,LOW
155.92,1.0,0,normal,0.28,LOW
166.51,1.06,0,normal,1.38,LOW
692.95,3.72,4,critical,60.75,MEDIUM
162.59,1.02,0,normal,0.79,LOW
138.0,0.93,0,normal,0.7,LOW
165.44,3.16,3,warning_fall,28.33,LOW
131.56,1.03,0,normal,0.3,LOW
148.89,1.02,0,normal,0.2,LOW
789.22,0.99,5,warning_gas,40.18,MEDIUM
150.37,1.03,0,normal,0.32,LOW
184.99,4.12,1,warning_fall,34.85,MEDIUM
148.81,1.04,0,normal,0.4,LOW
120.43,1.01,0,normal,0.1,LOW
121.51,1.02,0,normal,0.2,LOW
137.97,1.01,0,normal,0.1,LOW
164.52,0.99,0,normal,0.78,LOW
140.73,1.01,0,normal,0.1,LOW
112.65,0.97,0,normal,0.3,LOW
723.51,1.06,4,warning_gas,35.59,MEDIUM
167.99,1.05,0,normal,1.35,LOW
170.62,0.97,0,normal,1.27,LOW
160.6,0.98,0,normal,0.7,LOW
227.05,1.06,0,normal,4.23,LOW
158.27,1.02,0,normal,0.59,LOW
128.38,1.06,0,normal,0.6,LOW
149.34,1.0,0,normal,0.0,LOW
155.3,3.13,3,warning_fall,27.55,LOW
157.23,1.02,0,normal,0.54,LOW
178.83,0.97,0,normal,1.66,LOW
153.49,0.99,0,normal,0.26,LOW
132.77,1.01,0,normal,0.1,LOW
151.43,1.01,0,normal,0.17,LOW
508.61,0.99,6,warning_gas,28.98,LOW
138.21,0.99,0,normal,0.1,LOW
137.55,1.0,0,normal,0.0,LOW
144.62,1.02,0,normal,0.2,LOW
153.94,1.03,0,normal,0.49,LOW
132.88,0.94,0,normal,0.6,LOW
138.17,1.02,0,normal,0.2,LOW
175.43,1.05,0,normal,1.7,LOW
148.56,1.0,0,normal,0.0,LOW
159.24,0.94,0,normal,1.03,LOW
170.07,1.05,0,normal,1.44,LOW
156.48,0.99,0,normal,0.4,LOW
157.42,1.01,0,normal,0.45,LOW
929.01,3.6,11,critical,82.66,CRITICAL
513.13,1.01,2,warning_gas,21.19,LOW
800.67,0.96,2,warning_gas,35.02,MEDIUM
165.83,1.0,0,normal,0.74,LOW
107.52,0.99,0,normal,0.1,LOW
169.1,0.94,0,normal,1.5,LOW
136.75,1.02,0,normal,0.2,LOW
140.29,0.99,0,normal,0.1,LOW
512.22,0.97,6,warning_gas,29.35,LOW
182.57,1.04,0,normal,1.93,LOW
849.78,0.97,6,warning_gas,45.23,MEDIUM
139.4,1.0,0,normal,0.0,LOW
126.08,1.0,0,normal,0.0,LOW
708.36,0.97,3,warning_gas,32.58,MEDIUM
738.26,0.99,1,warning_gas,29.78,LOW
179.51,1.01,0,normal,1.49,LOW
180.43,3.2,2,warning_fall,27.43,LOW
175.34,1.01,0,normal,1.29,LOW
116.9,0.99,0,normal,0.1,LOW
145.09,1.03,0,normal,0.3,LOW
156.75,1.04,0,normal,0.72,LOW
644.4,3.11,10,critical,64.37,MEDIUM
145.09,1.02,0,normal,0.2,LOW
171.52,2.77,3,warning_fall,24.71,LOW
155.19,1.03,0,normal,0.54,LOW
435.67,1.04,6,warning_gas,25.84,LOW
841.4,4.37,9,critical,84.24,CRITICAL
740.77,0.99,2,warning_gas,31.9,MEDIUM
168.31,1.03,0,normal,1.16,LOW
144.61,1.05,0,normal,0.5,LOW
145.53,1.02,0,normal,0.2,LOW
762.04,4.58,8,critical,80.6,CRITICAL
136.96,0.98,0,normal,0.2,LOW
157.14,0.97,0,normal,0.64,LOW
147.89,2.66,1,warning_fall,18.6,LOW
177.37,0.97,0,normal,1.59,LOW
610.07,0.95,2,warning_gas,26.15,LOW
131.46,1.02,0,normal,0.2,LOW
153.73,1.02,0,normal,0.38,LOW
141.58,1.0,0,normal,0.0,LOW
195.41,1.03,0,normal,2.44,LOW
163.39,1.0,0,normal,0.63,LOW
162.84,3.2,3,warning_fall,28.6,LOW
926.94,0.99,4,warning_gas,44.66,MEDIUM
157.55,1.01,0,normal,0.46,LOW
913.21,0.98,6,warning_gas,48.12,MEDIUM
125.04,1.04,0,normal,0.4,LOW
873.05,4.52,8,critical,85.23,CRITICAL
131.91,1.07,0,normal,0.7,LOW
168.63,1.08,0,normal,1.68,LOW
165.82,0.98,0,normal,0.94,LOW
165.18,1.01,0,normal,0.81,LOW
152.22,0.99,0,normal,0.2,LOW
149.28,1.02,0,normal,0.2,LOW
120.43,1.02,0,normal,0.2,LOW
136.93,0.98,0,normal,0.2,LOW
932.67,0.91,1,warning_gas,39.73,MEDIUM
163.24,1.01,0,normal,0.72,LOW
146.31,3.44,3,warning_fall,30.4,MEDIUM
152.07,3.55,1,warning_fall,27.6,LOW
887.41,1.0,8,warning_gas,50.7,MEDIUM
125.99,1.06,0,normal,0.6,LOW
753.28,1.0,7,warning_gas,42.39,MEDIUM
161.9,0.98,0,normal,0.76,LOW
119.94,1.04,0,normal,0.4,LOW
126.17,0.98,0,normal,0.2,LOW
971.69,3.63,8,critical,80.97,CRITICAL
114.83,1.01,0,normal,0.1,LOW
173.14,3.12,1,warning_fall,24.29,LOW
136.01,0.96,0,normal,0.4,LOW
145.96,0.98,0,normal,0.2,LOW
124.98,0.97,0,normal,0.3,LOW
140.42,0.98,0,normal,0.2,LOW
144.87,2.83,3,warning_fall,24.3,LOW
139.8,1.0,0,normal,0.0,LOW
862.39,1.02,4,warning_gas,41.72,MEDIUM
163.92,0.99,0,normal,0.76,LOW
186.98,0.96,0,normal,2.14,LOW
173.27,4.05,4,warning_fall,39.6,MEDIUM
96.98,0.99,0,normal,0.1,LOW
166.26,0.98,0,normal,0.97,LOW
158.89,0.98,0,normal,0.62,LOW
176.11,1.05,0,normal,1.73,LOW
145.65,1.04,0,normal,0.4,LOW
180.65,0.91,0,normal,2.34,LOW
172.39,0.97,0,normal,1.35,LOW
111.62,0.99,0,normal,0.1,LOW
955.46,4.41,9,critical,90.0,CRITICAL
137.07,0.97,0,normal,0.3,LOW
158.03,0.95,0,normal,0.88,LOW
119.61,1.0,0,normal,0.0,LOW
165.49,1.01,0,normal,0.83,LOW
579.81,1.0,1,warning_gas,22.23,LOW
185.05,1.03,0,normal,1.95,LOW
180.46,0.95,0,normal,1.93,LOW
174.92,0.99,0,normal,1.27,LOW
153.67,0.99,0,normal,0.27,LOW
117.45,1.0,0,normal,0.0,LOW
521.34,0.98,1,warning_gas,19.67,LOW
143.56,0.97,0,normal,0.3,LOW
129.95,0.98,0,normal,0.2,LOW
141.98,0.97,0,normal,0.3,LOW
173.52,4.72,5,warning_fall,48.31,MEDIUM
538.73,1.02,8,warning_gas,34.49,MEDIUM
151.17,3.94,1,warning_fall,31.46,MEDIUM
842.74,1.03,1,warning_gas,34.9,MEDIUM
150.28,0.98,0,normal,0.21,LOW
127.14,0.98,0,normal,0.2,LOW
163.03,1.05,0,normal,1.11,LOW
152.41,0.98,0,normal,0.31,LOW
151.52,1.01,0,normal,0.17,LOW
160.3,1.02,0,normal,0.68,LOW
127.49,1.02,0,normal,0.2,LOW
151.84,1.0,0,normal,0.09,LOW
144.17,0.98,0,normal,0.2,LOW
150.95,1.05,0,normal,0.54,LOW
143.81,1.01,0,normal,0.1,LOW
141.35,1.01,0,normal,0.1,LOW
831.69,1.01,6,warning_gas,44.18,MEDIUM
144.6,1.03,0,normal,0.3,LOW
158.26,0.99,0,normal,0.49,LOW
142.02,4.7,5,warning_fall,47.0,MEDIUM
160.78,1.01,0,normal,0.61,LOW
718.99,1.0,7,warning_gas,40.78,MEDIUM
177.12,0.98,0,normal,1.48,LOW
176.14,1.02,0,normal,1.43,LOW
180.63,4.71,2,warning_fall,42.54,MEDIUM
731.92,1.01,4,warning_gas,35.48,MEDIUM
151.18,0.92,0,normal,0.86,LOW
132.05,0.95,0,normal,0.5,LOW
135.74,1.04,0,normal,0.4,LOW
158.1,1.01,0,normal,0.48,LOW
204.62,3.38,3,warning_fall,32.37,MEDIUM
445.19,1.06,4,warning_gas,22.49,LOW
152.35,1.01,0,normal,0.21,LOW
604.69,0.97,2,warning_gas,25.7,LOW
712.4,3.54,8,critical,67.87,MEDIUM
114.74,0.96,0,normal,0.4,LOW
145.6,3.89,3,warning_fall,34.9,MEDIUM
162.95,0.98,0,normal,0.81,LOW
100.57,0.98,0,normal,0.2,LOW
156.22,0.98,0,normal,0.49,LOW
171.69,2.56,3,warning_fall,22.62,LOW
132.79,1.05,0,normal,0.5,LOW
140.58,0.99,0,normal,0.1,LOW
628.71,4.93,8,critical,77.83,CRITICAL
130.89,1.04,0,normal,0.4,LOW
105.78,1.0,0,normal,0.0,LOW
128.85,0.95,0,normal,0.5,LOW
187.05,0.97,0,normal,2.04,LOW
154.33,1.06,0,normal,0.8,LOW
982.05,4.02,6,critical,81.36,CRITICAL
154.28,1.03,0,normal,0.5,LOW
136.46,1.02,0,normal,0.2,LOW
180.46,0.96,0,normal,1.83,LOW
