gigas_ppm,accel_g,duration_sec,label
160.87,1.01,0,normal
737.12,1.01,8,warning_gas
466.83,1.04,7,warning_gas
138.53,1.0,0,normal
127.51,1.01,0,normal
168.71,0.98,0,normal
130.21,0.97,0,normal
131.85,1.03,0,normal
137.01,3.29,5,warning_fall
134.33,1.05,0,normal
726.17,1.03,1,warning_gas
151.74,0.98,0,normal
166.46,0.98,0,normal
718.12,3.2,10,critical
160.24,2.95,3,warning_fall
125.2,4.77,3,warning_fall
152.27,1.02,0,normal
150.6,3.49,3,warning_fall
490.65,0.98,1,warning_gas
147.4,1.01,0,normal
137.92,0.95,0,normal
155.53,1.0,0,normal
159.96,1.01,0,normal
150.96,1.0,0,normal
161.42,0.99,0,normal
162.68,0.98,0,normal
141.59,0.98,0,normal
743.13,3.99,6,critical
145.9,2.82,2,warning_fall
162.73,3.52,4,warning_fall
121.04,1.02,0,normal
125.38,0.99,0,normal
159.43,1.02,0,normal
122.34,1.04,0,normal
150.49,1.0,0,normal
151.16,1.04,0,normal
142.5,1.05,0,normal
153.64,0.98,0,normal
136.61,4.08,3,warning_fall
169.51,1.02,0,normal
162.48,1.02,0,normal
155.92,1.0,0,normal
166.51,1.06,0,normal
692.95,3.72,4,critical
162.59,1.02,0,normal
138.0,0.93,0,normal
165.44,3.16,3,warning_fall
131.56,1.03,0,normal
148.89,1.02,0,normal
789.22,0.99,5,warning_gas
150.37,1.03,0,normal
184.99,4.12,1,warning_fall
148.81,1.04,0,normal
120.43,1.01,0,normal
121.51,1.02,0,normal
137.97,1.01,0,normal
164.52,0.99,0,normal
140.73,1.01,0,normal
112.65,0.97,0,normal
723.51,1.06,4,warning_gas
167.99,1.05,0,normal
170.62,0.97,0,normal
160.6,0.98,0,normal
227.05,1.06,0,normal
158.27,1.02,0,normal
128.38,1.06,0,normal
149.34,1.0,0,normal
155.3,3.13,3,warning_fall
157.23,1.02,0,normal
178.83,0.97,0,normal
153.49,0.99,0,normal
132.77,1.01,0,normal
151.43,1.01,0,normal
508.61,0.99,6,warning_gas
138.21,0.99,0,normal
137.55,1.0,0,normal
144.62,1.02,0,normal
153.94,1.03,0,normal
132.88,0.94,0,normal
138.17,1.02,0,normal
175.43,1.05,0,normal
148.56,1.0,0,normal
159.24,0.94,0,normal
170.07,1.05,0,normal
156.48,0.99,0,normal
157.42,1.01,0,normal
929.01,3.6,11,critical
513.13,1.01,2,warning_gas
800.67,0.96,2,warning_gas
165.83,1.0,0,normal
107.52,0.99,0,normal
169.1,0.94,0,normal
136.75,1.02,0,normal
140.29,0.99,0,normal
512.22,0.97,6,warning_gas
182.57,1.04,0,normal
849.78,0.97,6,warning_gas
139.4,1.0,0,normal
126.08,1.0,0,normal
708.36,0.97,3,warning_gas
738.26,0.99,1,warning_gas
179.51,1.01,0,normal
180.43,3.2,2,warning_fall
175.34,1.01,0,normal
116.9,0.99,0,normal
145.09,1.03,0,normal
156.75,1.04,0,normal
644.4,3.11,10,critical
145.09,1.02,0,normal
171.52,2.77,3,warning_fall
155.19,1.03,0,normal
435.67,1.04,6,warning_gas
841.4,4.37,9,critical
740.77,0.99,2,warning_gas
168.31,1.03,0,normal
144.61,1.05,0,normal
145.53,1.02,0,normal
762.04,4.58,8,critical
136.96,0.98,0,normal
157.14,0.97,0,normal
147.89,2.66,1,warning_fall
177.37,0.97,0,normal
610.07,0.95,2,warning_gas
131.46,1.02,0,normal
153.73,1.02,0,normal
141.58,1.0,0,normal
195.41,1.03,0,normal
163.39,1.0,0,normal
162.84,3.2,3,warning_fall
926.94,0.99,4,warning_gas
157.55,1.01,0,normal
913.21,0.98,6,warning_gas
125.04,1.04,0,normal
873.05,4.52,8,critical
131.91,1.07,0,normal
168.63,1.08,0,normal
165.82,0.98,0,normal
165.18,1.01,0,normal
152.22,0.99,0,normal
149.28,1.02,0,normal
120.43,1.02,0,normal
136.93,0.98,0,normal
932.67,0.91,1,warning_gas
163.24,1.01,0,normal
146.31,3.44,3,warning_fall
152.07,3.55,1,warning_fall
887.41,1.0,8,warning_gas
125.99,1.06,0,normal
753.28,1.0,7,warning_gas
161.9,0.98,0,normal
119.94,1.04,0,normal
126.17,0.98,0,normal
971.69,3.63,8,critical
114.83,1.01,0,normal
173.14,3.12,1,warning_fall
136.01,0.96,0,normal
145.96,0.98,0,normal
124.98,0.97,0,normal
140.42,0.98,0,normal
144.87,2.83,3,warning_fall
139.8,1.0,0,normal
862.39,1.02,4,warning_gas
163.92,0.99,0,normal
186.98,0.96,0,normal
173.27,4.05,4,warning_fall
96.98,0.99,0,normal
166.26,0.98,0,normal
158.89,0.98,0,normal
176.11,1.05,0,normal
145.65,1.04,0,normal
180.65,0.91,0,normal
172.39,0.97,0,normal
111.62,0.99,0,normal
955.46,4.41,9,critical
137.07,0.97,0,normal
158.03,0.95,0,normal
119.61,1.0,0,normal
165.49,1.01,0,normal
579.81,1.0,1,warning_gas
185.05,1.03,0,normal
180.46,0.95,0,normal
174.92,0.99,0,normal
153.67,0.99,0,normal
117.45,1.0,0,normal
521.34,0.98,1,warning_gas
143.56,0.97,0,normal
129.95,0.98,0,normal
141.98,0.97,0,normal
173.52,4.72,5,warning_fall
538.73,1.02,8,warning_gas
151.17,3.94,1,warning_fall
842.74,1.03,1,warning_gas
150.28,0.98,0,normal
127.14,0.98,0,normal
163.03,1.05,0,normal
152.41,0.98,0,normal
151.52,1.01,0,normal
160.3,1.02,0,normal
127.49,1.02,0,normal
151.84,1.0,0,normal
144.17,0.98,0,normal
150.95,1.05,0,normal
143.81,1.01,0,normal
141.35,1.01,0,normal
831.69,1.01,6,warning_gas
144.6,1.03,0,normal
158.26,0.99,0,normal
142.02,4.7,5,warning_fall
160.78,1.01,0,normal
718.99,1.0,7,warning_gas
177.12,0.98,0,normal
176.14,1.02,0,normal
180.63,4.71,2,warning_fall
731.92,1.01,4,warning_gas
151.18,0.92,0,normal
132.05,0.95,0,normal
135.74,1.04,0,normal
158.1,1.01,0,normal
204.62,3.38,3,warning_fall
445.19,1.06,4,warning_gas
152.35,1.01,0,normal
604.69,0.97,2,warning_gas
712.4,3.54,8,critical
114.74,0.96,0,normal
145.6,3.89,3,warning_fall
162.95,0.98,0,normal
100.57,0.98,0,normal
156.22,0.98,0,normal
171.69,2.56,3,warning_fall
132.79,1.05,0,normal
140.58,0.99,0,normal
628.71,4.93,8,critical
130.89,1.04,0,normal
105.78,1.0,0,normal
128.85,0.95,0,normal
187.05,0.97,0,normal
154.33,1.06,0,normal
982.05,4.02,6,critical
154.28,1.03,0,normal
136.46,1.02,0,normal
180.46,0.96,0,normal
122.45,1.01,0,normal
138.46,0.99,0,normal
511.36,0.98,3,warning_gas
175.55,1.03,0,normal
148.51,0.97,0,normal
126.33,1.01,0,normal
144.02,0.99,0,normal
133.83,1.02,0,normal
146.96,1.05,0,normal
179.56,1.01,0,normal
779.74,3.33,7,critical
803.19,1.05,6,warning_gas
141.21,3.22,3,warning_fall
147.71,1.03,0,normal
191.85,1.06,0,normal
165.03,1.06,0,normal
149.63,4.57,3,warning_fall
166.63,4.4,5,warning_fall
145.32,1.02,0,normal
586.05,1.04,5,warning_gas
145.58,1.07,0,normal
155.22,1.02,0,normal
182.65,0.98,0,normal
144.23,1.04,0,normal
163.07,4.31,5,warning_fall
810.15,1.01,6,warning_gas
133.21,0.99,0,normal
180.59,1.04,0,normal
138.01,0.99,0,normal
149.84,1.0,0,normal
172.86,1.0,0,normal
132.11,3.54,5,warning_fall
124.78,0.99,0,normal
161.41,1.01,0,normal
160.85,1.05,0,normal
132.32,0.99,0,normal
177.11,0.98,0,normal
157.14,0.96,0,normal
945.5,1.04,3,warning_gas
133.0,1.02,0,normal
419.42,1.1,7,warning_gas
167.05,0.98,0,normal
145.84,1.01,0,normal
172.71,1.01,0,normal
826.05,0.95,7,warning_gas
133.46,0.99,0,normal
128.82,0.97,0,normal
128.45,1.01,0,normal
938.37,4.11,6,critical
157.63,2.82,5,warning_fall
818.54,0.99,6,warning_gas
188.19,0.99,0,normal
147.75,1.03,0,normal
147.82,1.03,0,normal
139.39,1.02,0,normal
143.86,3.51,2,warning_fall
171.17,1.0,0,normal
165.35,1.05,0,normal
135.71,0.98,0,normal
127.41,0.99,0,normal
157.68,0.99,0,normal
117.87,1.03,0,normal
145.02,1.02,0,normal
488.04,1.02,1,warning_gas
135.1,3.62,1,warning_fall
169.5,0.99,0,normal
154.71,1.07,0,normal
132.24,4.42,3,warning_fall
129.84,0.97,0,normal
170.75,1.0,0,normal
162.77,0.98,0,normal
141.69,1.0,0,normal
411.52,1.03,3,warning_gas
139.72,1.05,0,normal
160.08,0.96,0,normal
135.69,1.05,0,normal
167.15,1.01,0,normal
846.47,0.97,3,warning_gas
169.08,1.01,0,normal
110.25,1.02,0,normal
160.44,0.98,0,normal
164.95,1.0,0,normal
151.11,0.96,0,normal
818.62,0.97,3,warning_gas
138.15,0.98,0,normal
154.9,1.03,0,normal
121.55,1.03,0,normal
823.07,0.97,3,warning_gas
159.47,0.98,0,normal
454.12,1.02,2,warning_gas
171.98,1.01,0,normal
839.29,1.0,5,warning_gas
171.88,1.02,0,normal
159.93,0.98,0,normal
163.64,0.98,0,normal
545.78,0.99,5,warning_gas
145.94,0.98,0,normal
179.48,4.47,4,warning_fall
148.68,1.0,0,normal
156.23,1.0,0,normal
141.0,1.03,0,normal
148.46,0.96,0,normal
193.81,1.04,0,normal
173.59,1.02,0,normal
191.21,1.03,0,normal
173.36,0.94,0,normal
150.14,3.62,4,warning_fall
151.94,1.01,0,normal
146.63,2.63,1,warning_fall
132.86,0.98,0,normal
130.37,0.99,0,normal
105.84,4.06,1,warning_fall
137.1,1.05,0,normal
140.14,0.94,0,normal
151.37,0.97,0,normal
133.42,1.04,0,normal
162.91,1.05,0,normal
173.16,1.0,0,normal
155.2,1.0,0,normal
169.43,0.97,0,normal
156.77,1.0,0,normal
181.0,1.01,0,normal
148.75,0.97,0,normal
169.27,0.98,0,normal
137.99,0.98,0,normal
710.76,0.91,4,warning_gas
125.09,1.04,0,normal
169.01,0.99,0,normal
171.0,3.47,1,warning_fall
134.93,1.06,0,normal
820.4,0.97,1,warning_gas
154.55,1.0,0,normal
156.82,0.98,0,normal
181.58,0.96,0,normal
848.77,1.03,1,warning_gas
211.58,0.97,0,normal
181.29,1.03,0,normal
134.42,3.39,5,warning_fall
626.94,0.97,6,warning_gas
136.76,1.01,0,normal
165.64,1.01,0,normal
595.46,0.99,8,warning_gas
192.88,1.01,0,normal
196.29,1.03,0,normal
146.37,4.76,3,warning_fall
168.52,1.0,0,normal
128.75,0.97,0,normal
801.23,3.01,4,critical
778.89,1.01,5,warning_gas
164.28,1.06,0,normal
153.43,0.96,0,normal
156.52,0.96,0,normal
155.15,1.04,0,normal
166.61,0.97,0,normal
133.22,1.01,0,normal
162.46,0.97,0,normal
108.65,1.0,0,normal
699.76,1.0,7,warning_gas
885.58,4.41,4,critical
139.11,1.01,0,normal
165.15,1.02,0,normal
138.46,1.05,0,normal
116.77,0.96,0,normal
159.62,0.98,0,normal
161.86,0.99,0,normal
168.42,3.4,2,warning_fall
158.26,1.01,0,normal
142.3,0.96,0,normal
132.72,0.98,0,normal
160.02,0.98,0,normal
122.45,4.54,5,warning_fall
535.67,0.98,3,warning_gas
144.95,1.0,0,normal
595.52,0.99,3,warning_gas
562.49,0.99,1,warning_gas
139.51,1.06,0,normal
674.04,1.02,7,warning_gas
151.99,0.97,0,normal
131.2,0.96,0,normal
131.84,0.99,0,normal
466.76,1.0,3,warning_gas
154.07,0.95,0,normal
112.58,0.98,0,normal
164.35,1.01,0,normal
150.25,1.03,0,normal
139.63,1.02,0,normal
146.29,1.0,0,normal
124.2,0.99,0,normal
173.26,1.03,0,normal
110.96,0.97,0,normal
160.39,1.02,0,normal
149.62,0.98,0,normal
147.86,0.98,0,normal
151.4,0.95,0,normal
154.84,0.98,0,normal
